is_duplicate,question1_len,question2_len,common_words,cosine_distance,euclidean_distances,minkowski_distances,manhattan_distances,jaccard_distances,fuzz_ratio,fuzz_partial_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio
0,41,35,5,0.977118364127688,0.2139235184467202,0.21274190435115076,0.2615902801430364,0.9166666666666666,92,100,100,92
0,31,67,4,0.7081263109511967,0.7640336236695391,0.550300376939491,2.283288258799118,0.9,57,90,89,59
0,42,32,3,0.5995024165074154,0.8949833333560852,0.7087201097338033,2.040961601886715,0.9090909090909091,27,51,84,68
0,24,21,0,0.0,1.4142135623730951,1.0865195369635816,3.351458364390057,0.8571428571428572,18,8,27,27
0,60,29,2,0.24990943821094216,1.2248188125507036,0.8385898914131301,4.164807717029526,0.9090909090909091,25,52,51,40
1,50,52,4,0.49215920894155224,1.0078102907377438,0.7771515733339285,2.5699743356198175,0.9285714285714286,63,64,69,65
0,9,41,0,0.0,1.4142135623730951,1.051196705607363,3.821627193836716,0.8888888888888888,20,33,20,20
1,14,15,1,0.7524000248499627,0.7037044481173007,0.6350689728449298,1.0787014886371875,0.8,76,71,78,76
0,11,15,2,0.7709958963592863,0.6767630362848044,0.6443751354199271,0.9500309547630488,0.8333333333333334,85,100,100,85
0,39,27,2,0.4780653514449891,1.0216992204704973,0.7818473777655676,2.440517013927428,0.875,42,48,65,48
0,47,61,0,0.0,1.414213562373095,0.9715549959746704,4.560769700332781,0.9,30,38,13,13
1,25,19,2,0.6608677128193785,0.8235681965455216,0.685079439916126,1.541505574080592,0.875,77,84,88,77
1,23,23,4,1.0,0.0,0.0,0.0,0.0,100,100,100,100
1,28,23,3,0.9241902757886555,0.3893834208369545,0.3825162275116026,0.5124777887746317,0.875,90,100,100,90
0,75,74,10,0.9197421275694663,0.4006441623948463,0.3570374868730371,0.57982859699489,0.95,95,96,96,91
1,62,62,3,0.29965408906578483,1.1835082686100802,0.8219222326852827,3.8251239391796865,0.9375,50,50,58,56
1,17,17,2,1.0,0.0,0.0,0.0,0.0,100,100,100,100
0,27,20,3,0.7237732462841524,0.7432721624221474,0.6165135951857149,1.4116474423191805,0.9,43,67,86,77
1,51,46,4,0.45768942168369764,1.041451466287606,0.7601433165168804,2.9178470803097922,0.9375,62,61,78,64
0,43,37,3,0.46292689498578854,1.0364102517962772,0.8225022346394752,2.1679918938955947,0.875,82,86,80,78
1,17,26,2,0.5839443195620537,0.9122013817550886,0.7462615677560771,1.8175655081866706,0.875,70,65,83,70
0,29,21,2,0.5908413621831761,0.9046089075582043,0.730749325269074,1.8721877348610514,0.8888888888888888,56,67,83,68
0,18,18,3,1.0,0.0,0.0,0.0,0.0,100,100,100,100
0,10,35,0,0.0,1.4142135623730951,1.0669108105216203,3.3960376939284256,0.8571428571428572,27,40,13,13
0,38,26,1,0.10360406987410459,1.338951776671509,0.9320850900481954,4.18434286108934,0.9230769230769231,44,46,34,34
0,39,50,6,0.867463581109478,0.5148522484956675,0.49881606903357445,0.8186327347517767,0.9285714285714286,88,85,100,88
